Pays,Capital,Devise,Monnaie,Habitants,Fleuves,Voisins,Monument,ImageDrapeau
Le Sénégal,Dakar,Un peuple un but une foi,Franc CFA,15084690,Sénégal,Cap-Vert/Gambie/Guinée/Guinée-Bissau/Mali/Mauritanie,Monument de la Renaissance Africaine,http://flags.fmcdn.net/data/flags/w580/sn.png
La Guinée ,Conakry,Travail justice solidarité,Franc guinéen,11855411,Niger/Sénégal/Gambie,Sénégal/Guinée-Bissau/Mali/Côte d’Ivoire/Libéria/Sierra Leone,Monument du 22 Novembre 1970,http://flags.fmcdn.net/data/flags/w580/gn.png
Le Nigéria,Abuja,Unité et foi - paix et progrès,Naira,190632261,Niger/Bénoué/Komadougou Yobé,Bénin/Niger/Tchad/Cameroun,Centre national des Arts,http://flags.fmcdn.net/data/flags/w580/ng.png
Le Mali,Bamako,Un peuple un but une foi,Franc CFA,18429893,Niger/Sénégal,Algérie/Burkina Faso/Côte d'Ivoire/Guinée/Mauritanie/Niger/Sénégal,Place de Sogolon,http://flags.fmcdn.net/data/flags/w580/ml.png
Le Maroc,Rabat,Dieu la patrie le roi,Dirham marocain,34314130,Drâa/Sebou/Moulouya,Algérie/Espagne/Mauritanie/Sahara occidental,Kasbah des Oudayas,http://flags.fmcdn.net/data/flags/w580/ma.png
L’Afrique du Sud,Pretoria,L'unité dans la diversité,Rand,55653654,Orange/Limpopo,Botswana/Lesotho/Mozambique/Namibie/Swaziland/Zimbabwe,Statue de Nelson Mandela,http://flags.fmcdn.net/data/flags/w580/za.png
L’Angola,Luanda,L'union fait la force,Kwanza,30355880,Rio Cuanza/Zambèze/Congo/Cuando/Cubango,Congo/Namibie/Zambie,Mausolée Agostinho Neto,http://flags.fmcdn.net/data/flags/w580/ao.png
L'Ethiopie,Addis-Abeba,L’Éthiopie d'abord,Birr,105350020,Nil bleu/Chébéli/Ghenale,Soudan/Djibouti/Erythrée,églises Rock de Lalibela,http://flags.fmcdn.net/data/flags/w580/et.png
L'Algérie,Alger,Du peuple et au peuple,Dinar algérien,44200000,Sidi Medjber/vallon/jaubert/Scotto Nadal,Maroc/Tunisie/Libye/Mali,Mémorial du Martyr d'Alger,http://flags.fmcdn.net/data/flags/w580/dz.png
Le Kenia,Nairobi,Travaillons ensemble,Shilling Kénian,41800000,Galana/Tana,Tanzania/Ouganda/Somalie/Ethiopie/Soudan/Soudan du sud,Musée de Kabarnet/Ruines de Gede,http://flags.fmcdn.net/data/flags/w580/ke.png
La France,Paris,Liberté égalité fraternité,Euro,‎67186640,Garonne/Seine/Loire,Allemagne/Andorre/Belgique/Espagne/Italie/Luxembourg/Monaco/Suisse,Tour Eiffel,http://flags.fmcdn.net/data/flags/w580/fr.png
La Belgique,Bruxelles,L'union fait la force,Euro,11358357,Meuse/Escaut/Yser,Allemagne/France/Luxembourg/Pays-Bas,Atomium,http://flags.fmcdn.net/data/flags/w580/be.png
La Norvège,Oslo,Tout pour la Norvège,Couronne norvégienne,5295619,Glomma/Numedalslågen/Vorma,Finlande/Russie/Suède,La patrie des Vikings en Norvège,http://flags.fmcdn.net/data/flags/w580/no.png
La Russie,Moscou,Prolétaires de tous les pays unissez-vous,Rouble,146880400,Volga/Don/Kama/Oka/Dvina septentrionale,Norvège/Finlande/Estonie/Lettonie/ Biélorussie/Ukraine,Le palace Catherine,http://flags.fmcdn.net/data/flags/w580/ru.png